Sub_id,rt,iv1,iv2
18,540.9649055507035,quiet,down
19,520.0003811862605,quiet,down
20,497.20462717943735,quiet,down
21,388.1722425650199,quiet,down
22,536.4718292617348,quiet,down
23,413.4162254694643,quiet,down
24,454.70267646818644,quiet,down
25,231.7884358038702,quiet,down
26,509.0958243849182,quiet,down
27,440.6398183133737,quiet,down
28,507.89677117180213,quiet,down
29,541.0885493970388,quiet,down
30,420.9202682489334,quiet,down
31,495.82775584183094,quiet,down
32,444.9176430656207,quiet,down
33,564.9734909791381,quiet,down
34,635.9283224711496,quiet,down
35,517.4191410716359,quiet,down
36,664.671557706738,quiet,down
37,644.4306691709627,quiet,down
38,576.34534839697,quiet,down
39,458.95619557629163,quiet,down
40,430.7319039943696,quiet,down
41,583.0955398249387,quiet,down
42,597.7174908558175,quiet,down
43,573.1549285497015,quiet,down
44,518.9653700299068,quiet,down
45,558.1159558526813,quiet,down
46,686.8084428976124,quiet,down
47,633.8957865947667,quiet,down
48,641.1548702679543,quiet,down
49,372.75810611451607,quiet,down
50,462.48852541419734,quiet,down
51,508.34532479614717,quiet,down
52,639.6326272909635,quiet,down
53,438.5008619384886,quiet,down
54,545.3993823014373,quiet,down
55,478.5078042996089,quiet,down
56,444.13112929343254,quiet,down
57,501.83984850071613,quiet,down
58,614.2840232811371,quiet,down
59,656.9656038913475,quiet,down
60,550.6363861644741,quiet,down
1,1192.0561648014234,noise,up
2,1107.276088256544,noise,up
3,1052.9902875980445,noise,up
4,1090.6286633541943,noise,up
5,1184.256076321207,noise,up
6,928.5793739159784,noise,up
7,1214.7800157730155,noise,up
8,1004.4824279980554,noise,up
9,990.5350608783094,noise,up
10,1294.8319174162264,noise,up
11,1080.7401555229146,noise,up
12,1170.0661024949625,noise,up
13,1230.181236038335,noise,up
14,1123.2514868652631,noise,up
15,1087.4192880134715,noise,up
16,1038.3398744534402,noise,up
17,1081.111500692529,noise,up
18,1053.4069680867788,noise,up
19,1078.0477252608305,noise,up
20,964.3095076228308,noise,up
21,1089.5095849895597,noise,up
22,1139.9133792163561,noise,up
23,1252.018352848895,noise,up
24,1188.6035950610865,noise,up
25,1053.9296155922343,noise,up
26,1303.419937106332,noise,up
27,1144.9554637692634,noise,up
28,985.997338625718,noise,up
29,1153.390829252074,noise,up
30,1138.6927133374063,noise,up
31,1072.8735529464093,noise,up
32,1230.7156690845854,noise,up
33,1074.0125848944078,noise,up
34,1137.9905184067948,noise,up
35,1234.5085854717197,noise,up
36,1258.0182107103474,noise,up
37,1284.155501109892,noise,up
38,1112.0682510702247,noise,up
39,1147.8961388532016,noise,up
40,982.3043315685542,noise,up
41,1146.6970181961503,noise,up
42,1372.3937006441836,noise,up
43,1278.6848596776542,noise,up
44,1256.1688185291143,noise,up
45,1113.8193088999924,noise,up
46,1223.0043192398214,noise,up
47,1099.9386045950118,noise,up
48,1032.644728858292,noise,up
49,1400.1654725377323,noise,up
50,995.5655361205881,noise,up
51,1239.3872229721417,noise,up
52,984.878363530354,noise,up
53,1234.4935521174925,noise,up
54,1145.7345446344427,noise,up
55,1128.6462056468056,noise,up
56,1220.2986983004575,noise,up
57,1150.611804636388,noise,up
58,1242.401607667753,noise,up
59,986.8259623932344,noise,up
60,1143.273312558618,noise,up
1,700.85476543269,quiet,up
2,680.2630833298613,quiet,up
3,576.832215461152,quiet,up
4,528.3932220855844,quiet,up
5,662.2164552616886,quiet,up
6,386.4645285921051,quiet,up
7,669.0026884361863,quiet,up
8,723.675693779217,quiet,up
9,734.5020593053894,quiet,up
10,714.7383333719171,quiet,up
11,528.8867157316943,quiet,up
12,664.6788408111395,quiet,up
13,543.6608993090905,quiet,up
14,484.1395780252949,quiet,up
15,663.052370025678,quiet,up
16,662.2430229879092,quiet,up
17,824.7777448972349,quiet,up
18,731.9292543956741,quiet,up
19,646.3027924549659,quiet,up
20,753.929824134002,quiet,up
21,644.5642068976916,quiet,up
22,847.1631544439838,quiet,up
23,740.1104731702239,quiet,up
24,587.2512817380477,quiet,up
25,638.7841623909359,quiet,up
26,511.7021317420105,quiet,up
27,738.9385786128356,quiet,up
28,791.6378555040097,quiet,up
29,712.1972458253086,quiet,up
30,636.4301447500427,quiet,up
31,765.313300967191,quiet,up
32,592.2116873535493,quiet,up
33,522.5182060559772,quiet,up
34,455.1486766822794,quiet,up
35,495.29730101293285,quiet,up
36,799.8388981734114,quiet,up
37,415.82026638921417,quiet,up
38,429.38196609826406,quiet,up
39,610.1607901763049,quiet,up
40,603.9996711433325,quiet,up
41,685.3217723880546,quiet,up
42,726.0515804366428,quiet,up
43,602.2488467832209,quiet,up
44,644.426851712458,quiet,up
45,713.0047527022318,quiet,up
46,561.0755790886075,quiet,up
47,667.0716627575513,quiet,up
48,551.7160229566865,quiet,up
49,384.1733779901914,quiet,up
50,588.2294418318999,quiet,up
51,560.0988305899225,quiet,up
52,642.7582407748649,quiet,up
53,680.217879641532,quiet,up
54,595.3369216949113,quiet,up
55,565.3447249173657,quiet,up
56,544.460605715807,quiet,up
57,572.682197153797,quiet,up
58,706.7516727638498,quiet,up
59,430.4649729637987,quiet,up
60,820.6735157801305,quiet,up
1,1212.1575314108486,noise,middle
2,1350.431850952194,noise,middle
3,1336.9305570291522,noise,middle
4,1418.1828192194441,noise,middle
5,1409.1928652367415,noise,middle
6,1219.8712905457885,noise,middle
7,1185.2581450038233,noise,middle
8,1205.769627765189,noise,middle
9,1362.673308473832,noise,middle
10,1186.5491610729932,noise,middle
11,1282.7442244480726,noise,middle
12,1416.9534558466212,noise,middle
13,1178.140166364448,noise,middle
14,1149.0067400552412,noise,middle
15,1205.8942546203436,noise,middle
16,1290.5630297796297,noise,middle
17,1546.2861401370894,noise,middle
18,1247.8703683599774,noise,middle
19,1249.0704599997794,noise,middle
20,1207.210083699473,noise,middle
21,1189.1064654957459,noise,middle
22,1334.1563988687933,noise,middle
23,1213.9458881775806,noise,middle
24,1304.782286835731,noise,middle
25,1186.7857850353043,noise,middle
26,1427.3901724553086,noise,middle
27,1486.7193279192963,noise,middle
28,1306.3470117263976,noise,middle
29,1181.9664873180802,noise,middle
30,1360.90884451111,noise,middle
31,1432.3906872457578,noise,middle
32,1258.493492952137,noise,middle
33,1302.4887056117366,noise,middle
34,1440.5960645899668,noise,middle
35,1350.6294614101466,noise,middle
36,1336.0933056762105,noise,middle
37,1371.303536472697,noise,middle
38,1445.494958675738,noise,middle
39,1267.9451334313153,noise,middle
40,1176.7527636022878,noise,middle
41,1346.8430315032294,noise,middle
42,1345.4320474994847,noise,middle
43,1334.4793631174998,noise,middle
44,1305.2262992686067,noise,middle
45,1388.4703640964428,noise,middle
46,1395.8573484016117,noise,middle
47,1373.3520691678639,noise,middle
48,1324.4618219216431,noise,middle
49,1213.9409690939453,noise,middle
50,1428.420345830209,noise,middle
51,1337.551831763904,noise,middle
52,1488.2164410951275,noise,middle
53,1339.684435051595,noise,middle
54,1258.1010485807815,noise,middle
55,1371.1459228854433,noise,middle
56,1361.6609643531592,noise,middle
57,1289.0588106163311,noise,middle
58,1316.3892899950908,noise,middle
59,1310.1912989954797,noise,middle
60,1198.911310357932,noise,middle
1,802.494858918257,quiet,middle
2,837.3627763430272,quiet,middle
3,696.2690049921995,quiet,middle
4,516.3518528508084,quiet,middle
5,791.992209369602,quiet,middle
6,692.9458252970543,quiet,middle
7,720.5674223442483,quiet,middle
8,774.5326663041911,quiet,middle
9,826.898239416387,quiet,middle
10,915.7416181366809,quiet,middle
11,706.852397686364,quiet,middle
12,728.0891607629449,quiet,middle
13,768.0942520402189,quiet,middle
14,681.7758853917663,quiet,middle
15,718.0281456751954,quiet,middle
16,727.2225150250933,quiet,middle
17,728.0377044370206,quiet,middle
18,960.0891546374816,quiet,middle
19,798.9144022528125,quiet,middle
20,658.4676697908881,quiet,middle
21,723.1594815637256,quiet,middle
22,837.0890694957111,quiet,middle
23,825.6201916465874,quiet,middle
24,797.9468988384342,quiet,middle
25,797.3068061443233,quiet,middle
26,693.5050530139275,quiet,middle
27,631.8702414295956,quiet,middle
28,715.4556780413312,quiet,middle
29,756.8645337219559,quiet,middle
30,590.6189609939684,quiet,middle
31,742.77731450255,quiet,middle
32,769.2890629706419,quiet,middle
33,699.8318134451858,quiet,middle
34,634.5352274754009,quiet,middle
35,691.0843453218563,quiet,middle
36,877.8031154010852,quiet,middle
37,801.0295917105999,quiet,middle
38,1017.7121043532118,quiet,middle
39,669.0033149418813,quiet,middle
40,797.3923739810998,quiet,middle
41,823.9444837693512,quiet,middle
42,860.5427970422218,quiet,middle
43,815.418546020034,quiet,middle
44,668.1641351518628,quiet,middle
45,759.4182055468658,quiet,middle
46,682.5689741601861,quiet,middle
47,637.8078546472805,quiet,middle
48,665.2108272426887,quiet,middle
49,804.2009830280666,quiet,middle
50,879.6665163716025,quiet,middle
51,1036.1950877405486,quiet,middle
52,804.9473441692551,quiet,middle
53,915.098832200548,quiet,middle
54,860.5591997153771,quiet,middle
55,894.7580558548997,quiet,middle
56,683.5140987653004,quiet,middle
57,781.7668273146851,quiet,middle
58,632.9375748818808,quiet,middle
59,774.4686958881041,quiet,middle
60,857.2863255926375,quiet,middle
